epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.28478,1.02344,2.91904,1.29173,0.78542,0.83333,0.88863,0.63261,1.44683,1.40877,1.28696,0,0,0
2,4.55881,1.2733,3.1048,1.61424,0.78665,0.75,0.87437,0.62429,1.45774,1.40683,1.29014,1.16644e-06,1.16644e-06,1.16644e-06
3,4.78916,1.27126,2.78412,1.53403,0.74724,0.75,0.87464,0.61442,1.45575,1.43235,1.28938,2.28575e-06,2.28575e-06,2.28575e-06
4,5.12636,1.1027,2.67425,1.31113,0.70294,0.75,0.87484,0.59775,1.49323,1.45913,1.30691,3.35794e-06,3.35794e-06,3.35794e-06
5,5.4993,1.13274,2.93149,1.52217,0.6457,0.75,0.87487,0.59537,1.52602,1.51416,1.32502,4.38301e-06,4.38301e-06,4.38301e-06
6,6.24524,1.13647,2.31416,1.37487,0.74848,0.75,0.88876,0.58945,1.53841,1.56264,1.33634,5.36095e-06,5.36095e-06,5.36095e-06
7,7.07543,1.53486,3.56798,1.81999,0.8717,0.58333,0.8887,0.58265,1.56487,1.64046,1.36416,6.29177e-06,6.29177e-06,6.29177e-06
8,7.76595,1.35964,3.37312,1.77977,0.85802,0.58333,0.87479,0.57621,1.55675,1.67475,1.36035,7.17546e-06,7.17546e-06,7.17546e-06
9,8.60794,1.48556,2.76746,1.59884,0.82773,0.58333,0.83327,0.59125,1.56661,1.72199,1.36701,8.01203e-06,8.01203e-06,8.01203e-06
10,9.21229,1.34216,2.53202,1.64189,0.79494,0.58333,0.7507,0.5665,1.55485,1.7448,1.36167,8.80148e-06,8.80148e-06,8.80148e-06
11,10.0062,1.21095,1.96538,1.49049,0.78861,0.58333,0.74509,0.56392,1.53871,1.79045,1.35163,9.5438e-06,9.5438e-06,9.5438e-06
